order_date,order_no,channel,sku,product_name,series,category,qty,unit_price,revenue,channel_fee
2026-03-23,OWN-260323-0001,자사몰,RR-WRK-302,레어로우 워크 데스크 1500,워크,데스크,1,448800,448800,15708
2026-03-23,OHS-260323-0002,오늘의집,RR-RAK-106,레어로우 랙 와이드 셸프,랙,수납,1,489855,489855,88173
2026-03-23,OHS-260323-0003,오늘의집,RR-RAK-102,레어로우 랙 사이드 테이블,랙,테이블,3,136119,408357,73504
2026-03-23,OWN-260323-0004,자사몰,RR-RAK-102,레어로우 랙 사이드 테이블,랙,테이블,3,133450,400350,14012
2026-03-23,OHS-260323-0005,오늘의집,RR-RAK-105,레어로우 랙 미니 랙,랙,수납,1,189873,189873,34177
2026-03-23,CPG-260323-0006,쿠팡,RR-LIF-502,10 COLORS 스툴,라이프스타일,체어,1,135660,135660,14651
2026-03-23,CPG-260323-0007,쿠팡,RR-RAK-103,레어로우 랙 유틸리티 랙,랙,수납,2,383562,767124,82849
2026-03-23,OHS-260323-0008,오늘의집,RR-SYS-204,시스템000 코너 모듈,시스템000,수납,1,301716,301716,54308
2026-03-23,29C-260323-0009,29CM,RR-RAK-104,레어로우 랙 행거 랙,랙,수납,1,341827,341827,92293
2026-03-23,NAV-260323-0010,네이버,RR-SYS-201,시스템000 1단 모듈,시스템000,수납,2,245701,491402,34398
2026-03-23,OHS-260323-0011,오늘의집,RR-RAK-101,레어로우 랙 소파 테이블,랙,테이블,2,163863,327726,58990
2026-03-23,OHS-260323-0012,오늘의집,RR-RAK-102,레어로우 랙 사이드 테이블,랙,테이블,2,136119,272238,49002
2026-03-23,NAV-260323-0013,네이버,RR-RAK-104,레어로우 랙 행거 랙,랙,수납,1,315783,315783,22104
2026-03-23,OWN-260323-0014,자사몰,RR-RAK-105,레어로우 랙 미니 랙,랙,수납,1,186150,186150,6515
2026-03-23,29C-260323-0015,29CM,RR-HOM-401,홈 시리즈 TV 보드,홈,리빙,1,622965,622965,168200
2026-03-23,29C-260323-0016,29CM,RR-RAK-102,레어로우 랙 사이드 테이블,랙,테이블,3,140122,420366,113498
2026-03-23,OHS-260323-0017,오늘의집,RR-HOM-401,홈 시리즈 TV 보드,홈,리빙,1,605166,605166,108929
2026-03-23,NAV-260323-0018,네이버,RR-WRK-304,레어로우 워크 모니터암,워크,액세서리,1,138516,138516,9696
2026-03-23,OWN-260323-0019,자사몰,RR-RAK-105,레어로우 랙 미니 랙,랙,수납,1,186150,186150,6515
2026-03-23,29C-260323-0020,29CM,RR-RAK-104,레어로우 랙 행거 랙,랙,수납,1,341827,341827,92293
2026-03-23,NAV-260323-0021,네이버,RR-SYS-202,시스템000 2단 모듈,시스템000,수납,1,410601,410601,28742
2026-03-23,29C-260323-0022,29CM,RR-RAK-105,레어로우 랙 미니 랙,랙,수납,1,195457,195457,52773
2026-03-23,OWN-260323-0023,자사몰,RR-RAK-104,레어로우 랙 행거 랙,랙,수납,1,325550,325550,11394
2026-03-23,29C-260323-0024,29CM,RR-SYS-205,시스템000 도어 패널,시스템000,부속,2,79432,158864,42893
2026-03-23,29C-260323-0025,29CM,RR-SYS-203,시스템000 3단 모듈,시스템000,수납,1,622965,622965,168200
2026-03-23,OWN-260323-0026,자사몰,RR-LIF-502,10 COLORS 스툴,라이프스타일,체어,2,142800,285600,9996
2026-03-23,OWN-260323-0027,자사몰,RR-SYS-203,시스템000 3단 모듈,시스템000,수납,2,593300,1186600,41531
2026-03-23,NAV-260323-0028,네이버,RR-LIF-503,10 COLORS 매거진 랙,라이프스타일,수납,1,80801,80801,5656
